Move,mean,max,min
864,13612.434782608696,14288,12934
865,13628.869565217392,14316,12942
866,13651.91304347826,14316,12946
867,13659.130434782608,14316,12946
868,13666.0,14318,12954
869,13680.95652173913,14318,12970
870,13693.04347826087,14326,12974
871,13703.217391304348,14326,12986
872,13710.434782608696,14326,13010
873,13720.782608695652,14330,13042
874,13742.695652173914,14346,13042
875,13752.0,14382,13042
876,13759.565217391304,14390,13046
877,13773.826086956522,14394,13054
878,13782.521739130434,14394,13122
879,13793.826086956522,14394,13134
880,13802.260869565218,14396,13134
881,13814.0,14404,13134
882,13821.91304347826,14414,13136
883,13828.434782608696,14418,13140
884,13838.695652173914,14454,13148
885,13851.391304347826,14458,13150
886,13869.272727272728,14458,13182
887,13877.09090909091,14492,13184
888,13899.272727272728,14620,13184
889,13905.727272727272,14622,13204
890,13906.952380952382,14622,13220
891,13944.8,14622,13260
892,13958.3,14650,13264
893,13968.5,14650,13264
894,13973.3,14650,13264
895,13980.7,14678,13268
896,13994.2,14714,13280
897,14002.0,14714,13288
898,14011.4,14730,13292
899,14018.0,14730,13292
900,14026.526315789473,14734,13292
901,14034.631578947368,14742,13296
902,14054.21052631579,14758,13300
903,14063.157894736842,14760,13310
904,14068.105263157895,14764,13314
905,14080.105263157895,14768,13314
906,14084.105263157895,14776,13316
907,14104.555555555555,14776,13320
908,14116.777777777777,14780,13328
909,14125.777777777777,14780,13338
910,14137.333333333334,14782,13378
911,14147.111111111111,14790,13394
912,14162.0,14814,13398
913,14188.470588235294,14846,13398
914,14204.588235294117,14886,13398
915,14210.235294117647,14890,13406
916,14213.0,14890,13414
917,14219.5,14894,13414
918,14225.375,14894,13418
919,14288.266666666666,14896,13682
920,14296.4,14908,13730
921,14301.333333333334,14916,13734
922,14313.466666666667,14932,13738
923,14330.133333333333,14936,13742
924,14348.57142857143,14936,13742
925,14391.846153846154,14936,13742
926,14406.307692307691,14940,13746
927,14433.23076923077,14964,13822
928,14443.333333333334,15032,13822
929,14447.0,15040,13822
930,14441.636363636364,15040,13830
931,14453.0,15044,13850
932,14460.8,15044,13854
933,14467.8,15048,13854
934,14516.0,15052,13856
935,14526.222222222223,15064,13876
936,14536.444444444445,15064,13908
937,14538.75,15084,13908
938,14548.75,15084,13912
939,14551.5,15092,13912
940,14567.5,15112,13912
941,14572.5,15112,13914
942,14582.75,15134,13930
943,14587.5,15138,13934
944,14598.5,15138,13934
945,14603.75,15142,13938
946,14614.5,15162,13938
947,14631.0,15188,13942
948,14642.5,15192,13958
949,14668.5,15200,13974
950,14679.0,15216,14014
951,14682.25,15220,14014
952,14688.25,15220,14014
953,14730.25,15220,14018
954,14848.0,15232,14342
955,14870.666666666666,15232,14378
956,14876.333333333334,15238,14378
957,14890.666666666666,15290,14380
958,14898.0,15298,14380
